Declaration_Number,Import_Date,Importer_ID,Broker_ID,Transport_Mode,Origin_Country,Port_of_Entry,Clearance_Port,Invoice_No,Invoice_Details,Item_Number,HS_Code,Stat_Code,Product_Code,Brand,Model_No,Product_Year,Cleaned_Description,Quantity,Net_Weight_KG,Gross_Weight_KG,Declared_Currency_Code,Unit_Price_Foreign_CIF,Invoice_Amount_Foreign,Exchange_Rate,Unit_Price_THB_CIF,Invoice_Amount_THB,Privilege_Code,Incentive_Scheme,Duty_Paid_THB,VAT_Paid_THB,Other_Taxes_THB,External_Benchmark_Price_THB,Is_Related_Party,Is_Anomaly_Confirmed,PRAISE_Alert_Ref_No,Recovered_Tax_THB,Review_Officer_ID,Review_Timestamp
DEC25070788955,2025-07-07,IMP-006,BROK-028,Sea,CN,BKK,SUV,INV-67845,Standard Import,1,64039990,0,PROD-883,BrandX,M-16,2025,Footwear,34.0,168.69,195.15,USD,827.86,28147.24,32.88,27220.04,925481.25,0,,277644.38,84218.79,0.0,28050.0,0,False,REF-83894,0.0,OFFICER-33,2024-12-30
DEC25090767884,2025-09-07,IMP-005,BROK-033,Sea,DE,LCP,LCP,INV-96545,Standard Import,1,62044290,0,PROD-653,BrandX,M-36,2021,Women Dresses,24.0,201.05,226.91,USD,1190.54,28572.96,32.88,39144.96,939478.92,999,,281843.68,85492.58,0.0,44200.0,0,False,REF-27626,0.0,OFFICER-33,2024-12-19
DEC250801107905,2025-08-01,IMP-008,BROK-009,Air,CN,LCP,BKK,INV-41916,Standard Import,1,87089360,0,PROD-603,BrandX,M-17,2023,Clutches,79.0,506.35,596.05,USD,3607.32,284978.28,32.88,118608.68,9370085.85,999,,2811025.75,852677.81,0.0,100000.0,1,False,REF-50660,0.0,OFFICER-32,2024-12-15
DEC24032155733,2024-03-21,IMP-005,BROK-040,Sea,CN,SUV,BKK,INV-87472,Standard Import,1,62044290,0,PROD-503,BrandX,M-81,2024,Women Dresses,52.0,328.13,373.68,USD,1317.36,68502.72,31.98,42129.17,2190716.99,0,,657215.1,199355.25,0.0,44200.0,1,False,REF-49433,0.0,OFFICER-15,2024-12-16
DEC25071466628,2025-07-14,IMP-005,BROK-048,Sea,CN,SUV,BKK,INV-62234,Standard Import,1,62044290,0,PROD-961,BrandX,M-70,2021,Women Dresses,27.0,57.36,60.72,USD,1211.22,32702.94,32.88,39824.91,1075272.67,999,,322581.8,97849.81,0.0,44200.0,0,False,REF-29558,0.0,OFFICER-19,2024-12-25
DEC24062357878,2024-06-23,IMP-005,BROK-020,Sea,CN,LCP,SUV,INV-48576,Standard Import,1,62044290,0,PROD-627,BrandX,M-51,2024,Women Dresses,67.0,134.93,160.63,USD,1284.83,86083.61,31.98,41088.86,2752953.85,999,,825886.16,250518.8,0.0,44200.0,0,False,REF-52573,0.0,OFFICER-34,2024-12-06
DEC23111831387,2023-11-18,IMP-003,BROK-026,Air,US,LCP,SUV,INV-11480,Standard Import,1,33030000,0,PROD-519,BrandX,M-16,2023,Perfumes,56.0,164.75,190.1,USD,3171.26,177590.56,35.07,111216.09,6228100.94,999,,1868430.28,566757.19,0.0,105400.0,0,False,REF-88712,0.0,OFFICER-30,2024-12-07
DEC23012045976,2023-01-20,IMP-005,BROK-021,Sea,CN,LCP,BKK,INV-55312,Standard Import,1,62044290,0,PROD-291,BrandX,M-26,2023,Women Dresses,96.0,920.75,1087.14,USD,1392.99,133727.04,35.07,48852.16,4689807.29,999,,1406942.19,426772.46,0.0,44200.0,0,False,REF-32619,0.0,OFFICER-31,2024-12-03
DEC23040327276,2023-04-03,IMP-003,BROK-023,Land,US,SUV,SUV,INV-32909,Standard Import,1,33030000,0,PROD-364,BrandX,M-19,2025,Perfumes,80.0,398.34,461.07,USD,1962.62,157009.6,35.07,68829.08,5506326.67,999,,1651898.0,501075.73,0.0,105400.0,1,False,REF-49603,0.0,OFFICER-28,2024-12-23
DEC24121938664,2024-12-19,IMP-003,BROK-026,Sea,DE,SUV,SUV,INV-12496,Standard Import,1,33030000,0,PROD-368,BrandX,M-46,2024,Perfumes,75.0,225.18,254.55,USD,3172.63,237947.25,31.98,101460.71,7609553.05,999,,2282865.92,692469.33,0.0,105400.0,1,False,REF-77929,0.0,OFFICER-39,2024-12-15
DEC25121270061,2025-12-12,IMP-005,BROK-017,Air,CN,LCP,SUV,INV-64676,Standard Import,1,62044290,0,PROD-717,BrandX,M-37,2025,Women Dresses,21.0,112.38,126.28,USD,1229.62,25822.02,32.88,40429.91,849028.02,999,,254708.41,77261.55,0.0,44200.0,1,False,REF-22612,0.0,OFFICER-22,2024-12-28
DEC24082359215,2024-08-23,IMP-005,BROK-043,Sea,CN,BKK,LCP,INV-37434,Standard Import,1,62044290,0,PROD-436,BrandX,M-35,2023,Women Dresses,57.0,458.8,507.31,USD,1350.96,77004.72,31.98,43203.7,2462610.95,999,,738783.29,224097.6,0.0,44200.0,0,False,REF-18938,0.0,OFFICER-13,2024-12-15
DEC24122638805,2024-12-26,IMP-003,BROK-046,Air,DE,LCP,LCP,INV-79253,Standard Import,1,33030000,0,PROD-297,BrandX,M-15,2025,Perfumes,55.0,74.84,80.91,USD,2982.05,164012.75,31.98,95365.96,5245127.75,0,,1573538.32,477306.62,0.0,105400.0,1,False,REF-94600,0.0,OFFICER-41,2024-12-28
DEC23081229635,2023-08-12,IMP-003,BROK-010,Air,JP,SUV,BKK,INV-48333,Standard Import,1,33030000,0,PROD-551,BrandX,M-16,2024,Perfumes,5.0,16.26,17.98,USD,2478.37,12391.85,35.07,86916.44,434582.18,0,,130374.65,39546.98,0.0,105400.0,1,False,REF-42036,0.0,OFFICER-14,2024-12-05
DEC23060528418,2023-06-05,IMP-003,BROK-048,Air,US,LCP,SUV,INV-15529,Standard Import,1,33030000,0,PROD-898,BrandX,M-67,2023,Perfumes,28.0,152.7,160.99,USD,3073.26,86051.28,35.07,107779.23,3017818.39,0,,905345.52,274621.47,0.0,105400.0,1,False,REF-54516,0.0,OFFICER-33,2024-12-07
DEC240705102597,2024-07-05,IMP-008,BROK-024,Sea,DE,LCP,BKK,INV-71439,Standard Import,1,87089360,0,PROD-613,BrandX,M-94,2022,Clutches,25.0,97.74,112.82,USD,2920.97,73024.25,31.98,93412.62,2335315.52,999,,700594.66,212513.71,0.0,100000.0,0,False,REF-82282,0.0,OFFICER-16,2024-12-14
DEC23031171926,2023-03-11,IMP-006,BROK-038,Sea,CN,LCP,BKK,INV-87753,Standard Import,1,64039990,0,PROD-884,BrandX,M-31,2022,Footwear,13.0,78.34,91.97,USD,825.42,10730.46,35.07,28947.48,376317.23,999,,112895.17,34244.87,0.0,28050.0,1,False,REF-83062,0.0,OFFICER-44,2024-12-05
DEC23111977110,2023-11-19,IMP-006,BROK-006,Sea,CN,SUV,BKK,INV-63693,Standard Import,1,64039990,0,PROD-798,BrandX,M-78,2024,Footwear,74.0,192.46,216.11,USD,801.58,59316.92,35.07,28111.41,2080244.38,0,,624073.31,189302.24,0.0,28050.0,0,True,REF-83355,317555.11,OFFICER-43,2024-12-08
DEC25121145114,2025-12-11,IMP-003,BROK-040,Air,JP,SUV,LCP,INV-42511,Standard Import,1,33030000,0,PROD-867,BrandX,M-90,2024,Perfumes,2.0,3.32,3.85,USD,1949.75,3899.5,32.88,64107.78,128215.56,0,,38464.67,11667.62,0.0,105400.0,1,False,REF-87967,0.0,OFFICER-37,2024-12-28
DEC250405106283,2025-04-05,IMP-008,BROK-029,Sea,DE,LCP,LCP,INV-11810,Standard Import,1,87089360,0,PROD-672,BrandX,M-70,2021,Clutches,99.0,399.82,437.04,USD,3174.5,314275.5,32.88,104377.56,10333378.44,0,,3100013.53,940337.44,0.0,100000.0,1,False,REF-48874,0.0,OFFICER-27,2024-12-30
DEC24010854048,2024-01-08,IMP-005,BROK-042,Sea,CN,BKK,SUV,INV-75356,Standard Import,1,62044290,0,PROD-372,BrandX,M-15,2024,Women Dresses,64.0,268.88,296.46,USD,1347.16,86218.24,31.98,43082.18,2757259.32,0,,827177.8,250910.6,0.0,44200.0,1,False,REF-93008,0.0,OFFICER-20,2024-12-21
DEC240908103416,2024-09-08,IMP-008,BROK-009,Air,US,SUV,BKK,INV-87293,Standard Import,1,87089360,0,PROD-642,BrandX,M-54,2021,Clutches,5.0,31.98,37.91,USD,3746.83,18734.15,31.98,119823.62,599118.12,999,,179735.44,54519.75,0.0,100000.0,1,False,REF-59901,0.0,OFFICER-14,2024-12-14
DEC24120261560,2024-12-02,IMP-005,BROK-024,Sea,CN,SUV,SUV,INV-61036,Standard Import,1,62044290,0,PROD-919,BrandX,M-62,2025,Women Dresses,75.0,717.79,795.2,USD,1342.2,100665.0,31.98,42923.56,3219266.7,0,,965780.01,292953.27,0.0,44200.0,0,False,REF-49480,0.0,OFFICER-32,2024-12-15
DEC25030486481,2025-03-04,IMP-006,BROK-030,Sea,CN,LCP,LCP,INV-11955,Standard Import,1,64039990,0,PROD-118,BrandX,M-85,2023,Footwear,76.0,600.41,637.54,USD,840.1,63847.6,32.88,27622.49,2099309.09,999,,629792.73,191037.13,0.0,28050.0,0,True,REF-64165,545322.96,OFFICER-33,2024-12-16
DEC240516101929,2024-05-16,IMP-008,BROK-049,Sea,JP,LCP,LCP,INV-92646,Standard Import,1,87089360,0,PROD-418,BrandX,M-75,2024,Clutches,44.0,273.1,316.96,USD,3575.25,157311.0,31.98,114336.49,5030805.78,999,,1509241.73,457803.33,0.0,100000.0,1,False,REF-25108,0.0,OFFICER-26,2024-12-26
DEC24052480859,2024-05-24,IMP-006,BROK-014,Sea,CN,LCP,LCP,INV-29323,Standard Import,1,64039990,0,PROD-156,BrandX,M-12,2024,Footwear,55.0,109.73,129.02,USD,835.85,45971.75,31.98,26730.48,1470176.56,0,,441052.97,133786.07,0.0,28050.0,0,False,REF-80834,0.0,OFFICER-12,2024-12-09
DEC23060173606,2023-06-01,IMP-006,BROK-032,Land,CN,SUV,SUV,INV-81009,Standard Import,1,64039990,0,PROD-819,BrandX,M-47,2021,Footwear,66.0,478.43,538.31,USD,820.96,54183.36,35.07,28791.07,1900210.44,0,,570063.13,172919.15,0.0,28050.0,1,False,REF-80419,0.0,OFFICER-17,2024-12-11
DEC25040440626,2025-04-04,IMP-003,BROK-012,Air,DE,SUV,SUV,INV-26032,Standard Import,1,33030000,0,PROD-474,BrandX,M-89,2025,Perfumes,77.0,220.58,248.4,USD,3112.72,239679.44,32.88,102346.23,7880659.99,999,,2364198.0,717140.06,0.0,105400.0,1,False,REF-32516,0.0,OFFICER-19,2024-12-04
DEC23122532058,2023-12-25,IMP-003,BROK-020,Sea,DE,SUV,SUV,INV-39692,Standard Import,1,33030000,0,PROD-166,BrandX,M-62,2021,Perfumes,35.0,162.09,176.77,USD,2951.78,103312.3,35.07,103518.92,3623162.36,999,,1086948.71,329707.77,0.0,105400.0,0,False,REF-16826,0.0,OFFICER-11,2024-12-21
DEC23122013216,2023-12-20,IMP-001,BROK-033,Air,JP,LCP,BKK,INV-68474,Standard Import,1,19059030,0,PROD-867,BrandX,M-68,2023,Cake,29.0,109.23,128.71,USD,147.3,4271.7,35.07,5165.81,149808.52,0,,44942.56,13632.58,0.0,5000.0,0,True,REF-84498,37443.82,OFFICER-19,2024-12-21
DEC25111594879,2025-11-15,IMP-007,BROK-046,Sea,JP,BKK,SUV,INV-18419,Standard Import,1,87032324,0,PROD-899,BrandX,M-18,2025,Passenger Cars,44.0,140.45,162.74,USD,36542.12,1607853.28,32.88,1201504.91,52866215.85,0,,42292972.68,6661143.2,0.0,2500000.0,1,True,REF-57441,10232831.95,OFFICER-49,2024-12-24
DEC23100921443,2023-10-09,IMP-002,BROK-021,Sea,JP,BKK,LCP,INV-26927,Standard Import,1,22083090,0,PROD-910,BrandX,M-95,2025,Whisky,24.0,112.27,118.79,USD,1494.03,35856.72,35.07,52395.63,1257495.17,0,,754497.1,140839.46,0.0,80000.0,1,True,REF-54050,603275.61,OFFICER-10,2024-12-29
DEC23071620997,2023-07-16,IMP-002,BROK-006,Sea,DE,LCP,SUV,INV-45942,Standard Import,1,22083090,0,PROD-896,BrandX,M-38,2025,Whisky,34.0,90.88,106.54,USD,314.19,10682.46,35.07,11018.64,374633.87,0,,224780.32,41958.99,0.0,80000.0,1,False,REF-56648,0.0,OFFICER-28,2024-12-14
DEC24070215013,2024-07-02,IMP-001,BROK-006,Air,CN,LCP,BKK,INV-80370,Standard Import,1,19059030,0,PROD-106,BrandX,M-10,2024,Cake,3.0,10.85,11.4,USD,156.65,469.95,31.98,5009.67,15029.0,999,,4508.7,1367.64,0.0,5000.0,1,True,REF-90416,5573.34,OFFICER-43,2024-12-19
DEC23082550939,2023-08-25,IMP-005,BROK-004,Sea,JP,LCP,BKK,INV-10918,Standard Import,1,62044290,0,PROD-730,BrandX,M-90,2023,Women Dresses,81.0,101.92,118.76,USD,1369.87,110959.47,35.07,48041.34,3891348.61,0,,1167404.58,354112.72,0.0,44200.0,1,False,REF-17928,0.0,OFFICER-14,2024-12-07
DEC24100660208,2024-10-06,IMP-005,BROK-017,Sea,CN,SUV,BKK,INV-28944,Standard Import,1,62044290,0,PROD-161,BrandX,M-16,2025,Women Dresses,88.0,121.37,136.67,USD,1292.46,113736.48,31.98,41332.87,3637292.63,999,,1091187.79,330993.63,0.0,44200.0,1,False,REF-16613,0.0,OFFICER-39,2024-12-15
DEC24110784139,2024-11-07,IMP-006,BROK-012,Air,CN,SUV,LCP,INV-83454,Standard Import,1,64039990,0,PROD-900,BrandX,M-72,2021,Footwear,12.0,25.07,28.33,USD,823.44,9881.28,31.98,26333.61,316003.33,999,,94801.0,28756.3,0.0,28050.0,0,False,REF-60028,0.0,OFFICER-11,2024-12-13
DEC25111069367,2025-11-10,IMP-005,BROK-023,Sea,CN,BKK,LCP,INV-47610,Standard Import,1,62044290,0,PROD-850,BrandX,M-71,2022,Women Dresses,9.0,21.55,23.72,USD,1220.69,10986.21,32.88,40136.29,361226.58,999,,108367.97,32871.62,0.0,44200.0,0,True,REF-91615,54895.98,OFFICER-17,2024-12-10
DEC24022893489,2024-02-28,IMP-007,BROK-032,Sea,DE,LCP,LCP,INV-56504,Standard Import,1,87032324,0,PROD-118,BrandX,M-23,2024,Passenger Cars,41.0,383.99,458.87,USD,34233.13,1403558.33,31.98,1094775.5,44885795.39,999,,35908636.31,5655610.22,0.0,2500000.0,1,False,REF-86436,0.0,OFFICER-11,2024-12-06
DEC23060148973,2023-06-01,IMP-005,BROK-037,Sea,CN,BKK,LCP,INV-89649,Standard Import,1,62044290,0,PROD-138,BrandX,M-91,2022,Women Dresses,74.0,141.05,165.81,USD,1443.76,106838.24,35.07,50632.66,3746817.08,0,,1124045.12,340960.35,0.0,44200.0,0,True,REF-52203,1277032.53,OFFICER-17,2024-12-17
DEC23113053097,2023-11-30,IMP-005,BROK-040,Sea,CN,LCP,BKK,INV-76852,Standard Import,1,62044290,0,PROD-278,BrandX,M-55,2021,Women Dresses,1.0,3.71,4.16,USD,1386.9,1386.9,35.07,48638.58,48638.58,0,,14591.57,4426.11,0.0,44200.0,0,False,REF-90344,0.0,OFFICER-36,2024-12-30
DEC24110360869,2024-11-03,IMP-005,BROK-014,Sea,CN,SUV,SUV,INV-35177,Standard Import,1,62044290,0,PROD-805,BrandX,M-64,2023,Women Dresses,13.0,74.93,80.41,USD,1318.65,17142.45,31.98,42170.43,548215.55,999,,164464.67,49887.62,0.0,44200.0,0,False,REF-58680,0.0,OFFICER-26,2024-12-04
DEC25060188259,2025-06-01,IMP-006,BROK-046,Sea,CN,BKK,SUV,INV-82077,Standard Import,1,64039990,0,PROD-883,BrandX,M-12,2021,Footwear,39.0,301.51,356.79,USD,812.2,31675.8,32.88,26705.14,1041500.3,999,,312450.09,94776.53,0.0,28050.0,0,False,REF-54550,0.0,OFFICER-46,2024-12-20
DEC24080836223,2024-08-08,IMP-003,BROK-045,Air,US,BKK,SUV,INV-66583,Standard Import,1,33030000,0,PROD-396,BrandX,M-60,2022,Perfumes,21.0,197.85,219.91,USD,3045.38,63952.98,31.98,97391.25,2045216.3,999,,613564.89,186114.68,0.0,105400.0,1,False,REF-13380,0.0,OFFICER-11,2024-12-21
DEC24111061032,2024-11-10,IMP-005,BROK-036,Air,US,SUV,LCP,INV-60242,Standard Import,1,62044290,0,PROD-931,BrandX,M-55,2024,Women Dresses,60.0,382.55,409.71,USD,1319.66,79179.6,31.98,42202.73,2532163.61,999,,759649.08,230426.89,0.0,44200.0,1,False,REF-38806,0.0,OFFICER-34,2024-12-06
DEC25072124676,2025-07-21,IMP-002,BROK-006,Air,US,SUV,LCP,INV-48409,Standard Import,1,22083090,0,PROD-259,BrandX,M-49,2023,Whisky,39.0,182.32,211.59,USD,542.21,21146.19,32.88,17827.86,695286.73,0,,417172.04,77872.11,0.0,80000.0,0,False,REF-23243,0.0,OFFICER-41,2024-12-13
DEC25102969101,2025-10-29,IMP-005,BROK-006,Land,CN,LCP,LCP,INV-38165,Standard Import,1,62044290,0,PROD-235,BrandX,M-82,2021,Women Dresses,1.0,8.29,9.08,USD,1209.9,1209.9,32.88,39781.51,39781.51,0,,11934.45,3620.12,0.0,44200.0,0,False,REF-77395,0.0,OFFICER-42,2024-12-09
DEC240508101802,2024-05-08,IMP-008,BROK-047,Air,DE,LCP,BKK,INV-80308,Standard Import,1,87089360,0,PROD-962,BrandX,M-31,2021,Clutches,39.0,41.43,45.15,USD,4123.36,160811.04,31.98,131865.05,5142737.06,0,,1542821.12,467989.07,0.0,100000.0,1,False,REF-86846,0.0,OFFICER-22,2024-12-16
DEC24021078776,2024-02-10,IMP-006,BROK-016,Sea,US,SUV,LCP,INV-45819,Standard Import,1,64039990,0,PROD-223,BrandX,M-72,2025,Footwear,49.0,377.41,448.74,USD,806.36,39511.64,31.98,25787.39,1263582.25,0,,379074.67,114985.98,0.0,28050.0,1,False,REF-56265,0.0,OFFICER-31,2024-12-19
DEC25081067212,2025-08-10,IMP-005,BROK-029,Land,CN,LCP,BKK,INV-33897,Standard Import,1,62044290,0,PROD-376,BrandX,M-36,2025,Women Dresses,73.0,105.38,119.83,USD,1185.55,86545.15,32.88,38980.88,2845604.53,999,,853681.36,258950.01,0.0,44200.0,0,False,REF-44243,0.0,OFFICER-24,2024-12-24
DEC24083136673,2024-08-31,IMP-003,BROK-032,Air,DE,BKK,LCP,INV-44726,Standard Import,1,33030000,0,PROD-302,BrandX,M-82,2021,Perfumes,69.0,407.26,438.86,USD,3146.76,217126.44,31.98,100633.38,6943703.55,999,,2083111.06,631877.02,0.0,105400.0,0,False,REF-87012,0.0,OFFICER-41,2024-12-07
DEC24090382876,2024-09-03,IMP-006,BROK-048,Sea,CN,BKK,LCP,INV-60771,Standard Import,1,64039990,0,PROD-130,BrandX,M-13,2021,Footwear,13.0,109.61,123.16,USD,805.96,10477.48,31.98,25774.6,335069.81,999,,100520.94,30491.35,0.0,28050.0,0,False,REF-55437,0.0,OFFICER-17,2024-12-21
DEC24112661411,2024-11-26,IMP-005,BROK-040,Sea,CN,SUV,SUV,INV-36967,Standard Import,1,62044290,0,PROD-454,BrandX,M-24,2023,Women Dresses,83.0,314.84,341.36,USD,1296.25,107588.75,31.98,41454.07,3440688.23,0,,1032206.47,313102.63,0.0,44200.0,0,False,REF-33999,0.0,OFFICER-24,2024-12-24
DEC250307105881,2025-03-07,IMP-008,BROK-002,Sea,JP,LCP,SUV,INV-99665,Standard Import,1,87089360,0,PROD-473,BrandX,M-82,2023,Clutches,8.0,57.4,63.86,USD,3212.32,25698.56,32.88,105621.08,844968.65,999,,253490.6,76892.15,0.0,100000.0,1,False,REF-41713,0.0,OFFICER-43,2024-12-07
DEC23050773089,2023-05-07,IMP-006,BROK-027,Sea,DE,LCP,BKK,INV-79815,Standard Import,1,64039990,0,PROD-347,BrandX,M-96,2025,Footwear,51.0,204.55,216.98,USD,804.22,41015.22,35.07,28204.0,1438403.77,0,,431521.13,130894.74,0.0,28050.0,0,False,REF-62356,0.0,OFFICER-39,2024-12-07
DEC25031486720,2025-03-14,IMP-006,BROK-042,Sea,CN,BKK,SUV,INV-50675,Standard Import,1,64039990,0,PROD-230,BrandX,M-68,2023,Footwear,14.0,125.5,149.3,USD,804.25,11259.5,32.88,26443.74,370212.36,999,,111063.71,33689.32,0.0,28050.0,1,True,REF-63296,43504.2,OFFICER-48,2024-12-03
DEC240522102013,2024-05-22,IMP-008,BROK-004,Air,CN,BKK,LCP,INV-14010,Standard Import,1,87089360,0,PROD-966,BrandX,M-64,2022,Clutches,17.0,50.08,56.26,USD,3162.76,53766.92,31.98,101145.06,1719466.1,0,,515839.83,156471.42,0.0,100000.0,1,False,REF-47547,0.0,OFFICER-27,2024-12-14
DEC23123177977,2023-12-31,IMP-006,BROK-012,Air,CN,BKK,LCP,INV-69981,Standard Import,1,64039990,0,PROD-894,BrandX,M-46,2024,Footwear,16.0,77.74,92.07,USD,799.96,12799.36,35.07,28054.6,448873.56,999,,134662.07,40847.49,0.0,28050.0,1,False,REF-67459,0.0,OFFICER-20,2024-12-30
DEC25072489279,2025-07-24,IMP-006,BROK-043,Sea,CN,SUV,SUV,INV-86966,Standard Import,1,64039990,0,PROD-183,BrandX,M-72,2023,Footwear,43.0,296.27,341.82,USD,844.48,36312.64,32.88,27766.5,1193959.6,999,,358187.88,108650.32,0.0,28050.0,0,True,REF-65617,343768.99,OFFICER-49,2024-12-28
DEC23072929360,2023-07-29,IMP-003,BROK-028,Air,US,SUV,LCP,INV-92489,Standard Import,1,33030000,0,PROD-478,BrandX,M-85,2022,Perfumes,80.0,648.47,756.24,USD,3230.09,258407.2,35.07,113279.26,9062340.5,0,,2718702.15,824672.99,0.0,105400.0,0,False,REF-85331,0.0,OFFICER-49,2024-12-07
DEC23032147353,2023-03-21,IMP-005,BROK-042,Sea,CN,BKK,LCP,INV-37934,Standard Import,1,62044290,0,PROD-703,BrandX,M-91,2023,Women Dresses,70.0,81.81,92.81,USD,1393.38,97536.6,35.07,48865.84,3420608.56,0,,1026182.57,311275.38,0.0,44200.0,1,False,REF-94169,0.0,OFFICER-49,2024-12-26
DEC25020663066,2025-02-06,IMP-005,BROK-021,Sea,CN,BKK,LCP,INV-89674,Standard Import,1,62044290,0,PROD-595,BrandX,M-20,2021,Women Dresses,55.0,103.11,116.15,USD,1180.26,64914.3,32.88,38806.95,2134382.18,0,,640314.65,194228.78,0.0,44200.0,1,False,REF-22043,0.0,OFFICER-12,2024-12-06
DEC251021109018,2025-10-21,IMP-008,BROK-024,Sea,DE,SUV,SUV,INV-22260,Standard Import,1,87089360,0,PROD-564,BrandX,M-95,2025,Clutches,43.0,81.15,90.94,USD,2947.3,126733.9,32.88,96907.22,4167010.63,0,,1250103.19,379197.97,0.0,100000.0,1,False,REF-10451,0.0,OFFICER-10,2024-12-25
DEC25061724500,2025-06-17,IMP-002,BROK-026,Sea,CN,BKK,BKK,INV-68786,Standard Import,1,22083090,0,PROD-319,BrandX,M-39,2025,Whisky,4.0,22.98,26.34,USD,268.45,1073.8,32.88,8826.64,35306.54,999,,21183.92,3954.33,0.0,80000.0,1,True,REF-86075,4983.82,OFFICER-19,2024-12-14
DEC23040610871,2023-04-06,IMP-001,BROK-031,Sea,JP,BKK,SUV,INV-68361,Standard Import,1,19059030,0,PROD-596,BrandX,M-70,2021,Cake,8.0,20.64,23.71,USD,121.91,975.28,35.07,4275.38,34203.07,999,,10260.92,3112.48,0.0,5000.0,0,False,REF-59624,0.0,OFFICER-42,2024-12-04
DEC23031972121,2023-03-19,IMP-006,BROK-013,Air,US,BKK,LCP,INV-89599,Standard Import,1,64039990,0,PROD-932,BrandX,M-21,2021,Footwear,70.0,125.56,138.04,USD,820.46,57432.2,35.07,28773.53,2014147.25,0,,604244.17,183287.4,0.0,28050.0,0,False,REF-15083,0.0,OFFICER-47,2024-12-12
DEC24051214571,2024-05-12,IMP-001,BROK-049,Land,US,SUV,BKK,INV-73154,Standard Import,1,19059030,0,PROD-757,BrandX,M-60,2023,Cake,12.0,15.61,18.15,USD,154.3,1851.6,31.98,4934.51,59214.17,999,,17764.25,5388.49,0.0,5000.0,0,False,REF-62136,0.0,OFFICER-14,2024-12-04
DEC25061941959,2025-06-19,IMP-003,BROK-040,Sea,US,LCP,LCP,INV-30756,Standard Import,1,33030000,0,PROD-786,BrandX,M-70,2021,Perfumes,12.0,51.71,57.45,USD,3126.5,37518.0,32.88,102799.32,1233591.84,999,,370077.55,112256.86,0.0,105400.0,1,False,REF-28819,0.0,OFFICER-24,2024-12-27
DEC25083090034,2025-08-30,IMP-006,BROK-014,Land,CN,SUV,SUV,INV-93189,Standard Import,1,64039990,0,PROD-728,BrandX,M-12,2023,Footwear,61.0,251.03,295.33,USD,850.68,51891.48,32.88,27970.36,1706191.86,999,,511857.56,155263.46,0.0,28050.0,1,False,REF-12438,0.0,OFFICER-42,2024-12-23
DEC25091468043,2025-09-14,IMP-005,BROK-014,Sea,CN,SUV,BKK,INV-24048,Standard Import,1,62044290,0,PROD-708,BrandX,M-45,2023,Women Dresses,73.0,98.9,110.74,USD,1181.39,86241.47,32.88,38844.1,2835619.53,0,,850685.86,258041.38,0.0,44200.0,0,False,REF-22024,0.0,OFFICER-20,2024-12-10
DEC23121977717,2023-12-19,IMP-006,BROK-048,Sea,CN,SUV,BKK,INV-88856,Standard Import,1,64039990,0,PROD-610,BrandX,M-22,2021,Footwear,16.0,73.7,81.73,USD,802.18,12834.88,35.07,28132.45,450119.24,0,,135035.77,40960.85,0.0,28050.0,0,False,REF-50991,0.0,OFFICER-45,2024-12-28
DEC23061528594,2023-06-15,IMP-003,BROK-004,Air,DE,BKK,LCP,INV-83490,Standard Import,1,33030000,0,PROD-990,BrandX,M-89,2021,Perfumes,38.0,231.21,248.51,USD,3046.81,115778.78,35.07,106851.63,4060361.81,0,,1218108.54,369492.92,0.0,105400.0,1,False,REF-54852,0.0,OFFICER-21,2024-12-11
DEC25032040372,2025-03-20,IMP-003,BROK-008,Land,US,SUV,LCP,INV-20949,Standard Import,1,33030000,0,PROD-714,BrandX,M-48,2025,Perfumes,81.0,171.77,185.49,USD,2974.27,240915.87,32.88,97794.0,7921313.81,0,,2376394.14,720839.56,0.0,105400.0,1,True,REF-10435,3469350.26,OFFICER-23,2024-12-26
DEC24120684688,2024-12-06,IMP-006,BROK-036,Sea,DE,LCP,LCP,INV-53846,Standard Import,1,64039990,0,PROD-592,BrandX,M-17,2025,Footwear,15.0,62.36,72.62,USD,832.79,12491.85,31.98,26632.62,399489.36,999,,119846.81,36353.53,0.0,28050.0,1,False,REF-41622,0.0,OFFICER-10,2024-12-28
DEC23082429830,2023-08-24,IMP-003,BROK-002,Air,DE,BKK,SUV,INV-92991,Standard Import,1,33030000,0,PROD-316,BrandX,M-56,2022,Perfumes,26.0,140.28,160.08,USD,1975.45,51361.7,35.07,69279.03,1801254.82,0,,540376.45,163914.19,0.0,105400.0,1,True,REF-81508,468548.66,OFFICER-31,2024-12-25
DEC25050441141,2025-05-04,IMP-003,BROK-050,Air,DE,BKK,SUV,INV-56429,Standard Import,1,33030000,0,PROD-791,BrandX,M-89,2024,Perfumes,69.0,522.04,591.32,USD,3076.47,212276.43,32.88,101154.33,6979649.02,0,,2093894.71,635148.06,0.0,105400.0,0,False,REF-15846,0.0,OFFICER-49,2024-12-29
DEC24041793585,2024-04-17,IMP-007,BROK-041,Sea,JP,BKK,BKK,INV-60527,Standard Import,1,87032324,0,PROD-903,BrandX,M-70,2024,Passenger Cars,42.0,411.87,483.02,USD,54290.55,2280203.1,31.98,1736211.79,72920895.14,999,,58336716.11,9188032.79,0.0,2500000.0,1,True,REF-81658,11641543.12,OFFICER-17,2024-12-12
